;ITRX EUR CDSI GEN 5Y Corp;ITRX XOVER CDSI GEN 5Y Corp;DU1 Comdty;OE1 Comdty;RX1 Comdty;RECMTREU Index
02/10/2023;82.44325;439.1052;104.93;115.43;127.75;149.0285
03/10/2023;86.04738;455.2537;104.965;115.33;127.28;148.8003
04/10/2023;85.58153;453.8545;104.99;115.35;127.37;148.52
05/10/2023;87.82574;461.1187;105.095;115.73;128.07;148.8967
06/10/2023;85.57082;453.675;105.105;115.72;127.94;148.7697
09/10/2023;87.0907;460.9583;105.28;116.38;129.25;149.4028
10/10/2023;82.59637;440.4744;105.21;116.25;129.15;149.4403
11/10/2023;83.22057;441.4697;105.16;116.3;129.78;149.6649
12/10/2023;81.31616;433.0618;105.045;115.99;129.16;149.4439
13/10/2023;85.29295;451.6418;105.085;116.16;129.52;149.618
16/10/2023;83.91168;445.6096;105.04;115.99;129.08;149.4095
17/10/2023;83.49876;444.9785;104.885;115.48;128.09;148.848
18/10/2023;85.68649;455.1846;104.85;115.3;127.61;148.6171
19/10/2023;86.88885;461.894;104.82;115.21;127.53;148.4562
20/10/2023;89.47794;472.501;105;115.65;128.09;148.8146
23/10/2023;87.03365;463.5371;104.965;115.61;128.16;148.822
24/10/2023;85.40314;454.989;105.025;115.85;128.56;149.2636
25/10/2023;87.35736;462.259;104.985;115.68;128.13;149.1088
26/10/2023;89.43079;470.6638;105.08;115.92;128.47;149.3334
27/10/2023;89.34665;469.7803;105.125;116.09;128.65;149.5417
30/10/2023;88.49834;464.9492;105.16;116.16;128.73;149.7672
31/10/2023;85.67406;450.2449;105.175;116.29;128.99;150.0044
01/11/2023;83.57747;439.7666;105.24;116.53;129.45;150.3661
02/11/2023;79.04648;419.1387;105.205;116.57;129.91;150.8165
03/11/2023;77.19566;412.929;105.22;116.8;130.54;151.1669
06/11/2023;77.91461;418.2705;105.13;116.4;129.68;150.7776
07/11/2023;77.3476;416.0505;105.16;116.59;130.33;150.9977
08/11/2023;75.95625;410.4441;105.135;116.66;130.73;151.1545
09/11/2023;75.63145;408.2454;105.11;116.58;130.44;151.1907
10/11/2023;75.64455;410.7927;105.01;116.24;129.82;150.8708
13/11/2023;73.94283;404.0654;104.955;116.12;129.64;150.9126
14/11/2023;70.12238;388.0908;105.115;116.71;130.88;151.8778
15/11/2023;71.11282;390.9841;105.085;116.64;130.64;151.8996
16/11/2023;71.64142;394.489;105.19;116.98;131.2;152.2173
17/11/2023;69.84396;386.8149;105.15;116.85;131.04;152.0838
20/11/2023;68.40688;380.7761;105.05;116.59;130.68;151.8529
21/11/2023;69.12898;383.031;105.11;116.89;131.26;152.1635
22/11/2023;68.16939;376.8132;105.065;116.78;131.22;152.1082
23/11/2023;67.77696;375.0193;104.995;116.45;130.58;151.8432
24/11/2023;68.19225;374.6113;104.94;116.31;130.32;151.733
27/11/2023;69.64178;382.1948;105.105;116.88;131.32;152.385
28/11/2023;68.23393;377.3464;105.235;117.24;131.93;152.7982
29/11/2023;66.74606;367.1421;105.41;117.73;132.71;153.4914
30/11/2023;67.97989;373.5073;105.385;117.5;132.29;153.4089
01/12/2023;65.86903;363.8003;105.665;118.14;133.22;154.2385
04/12/2023;66.77455;367.5847;105.64;118.19;133.45;154.4872
05/12/2023;67.32654;370.2583;105.73;118.58;134.53;155.0539
06/12/2023;67.17924;370.1575;105.705;118.72;134.91;155.2751
07/12/2023;66.89108;368.1973;105.71;118.83;135.12;155.3636
08/12/2023;66.76195;367.7202;106.025;117.88;134.68;154.8437
11/12/2023;66.95499;368.3428;106.015;117.84;134.63;154.857
12/12/2023;66.34529;364.0471;105.965;117.92;135.08;155.0007
13/12/2023;64.15744;352.9951;106.095;118.22;135.67;155.4256
14/12/2023;59.52007;328.5725;106.29;118.63;136.22;156.4049
15/12/2023;60.99332;331.6973;106.41;119.07;137.33;157.0102
18/12/2023;62.03888;335.7554;106.3;118.82;136.74;156.7417
19/12/2023;59.52161;321.2068;106.365;119.06;137.4;157.0502
20/12/2023;59.91277;323.3657;106.455;119.29;137.82;157.372
21/12/2023;60.09355;323.6677;106.47;119.41;137.95;157.5572
22/12/2023;59.10477;316.4026;106.535;119.51;137.9;157.6631
27/12/2023;58.67921;314.9658;106.565;119.75;138.64;158.0349
28/12/2023;58.99661;314.9351;106.61;119.66;138.31;158.0054
29/12/2023;58.21181;310.4717;106.545;119.28;137.22;157.5568
02/01/2024;61.40036;325.238;106.46;119.11;136.89;157.3108
03/01/2024;64.82899;343.0884;106.495;119.26;137.19;157.0282
04/01/2024;63.6507;339.8655;106.285;118.72;136.31;156.4431
05/01/2024;63.69814;338.9829;106.21;118.54;136.03;156.2329
08/01/2024;62.59074;333.8875;106.215;118.57;136.05;156.2687
09/01/2024;61.76668;329.8611;106.11;118.25;135.46;156.0326
10/01/2024;59.54346;319.0481;106.025;118.07;135.16;155.9646
11/01/2024;60.44354;325.0574;106.03;118.06;135.14;156.1866
12/01/2024;60.03952;321.491;106.245;118.46;135.67;156.7107
15/01/2024;60.88368;329.532;106.12;118.19;135.25;156.4631
16/01/2024;60.76187;331.1768;106.095;118.1;134.96;156.3123
17/01/2024;62.43398;338.5183;105.895;117.58;134.23;155.6869
18/01/2024;61.06833;333.9468;105.905;117.52;133.95;155.7922
19/01/2024;59.92085;329.0457;105.83;117.43;134;155.8703
22/01/2024;59.18588;323.5752;105.88;117.63;134.47;156.2778
