ISIN;Description;Ccy;Price;Issuer;Industry Sector;Maturity;Coupon;Rating;PD 1YR;Outstanding Amount;Callable;Next Call Date;Seniority;Coupon Frequency;Coupon Type;First Coupon Date;Penultimate Coupon Date;Issue date;Bid Price;Ask Price
XS0161488498;DT 7 ½ 01/24/33;EUR;127.8353;DEUTSCHE TELEKOM INT FIN;Communications;24/01/2033;7.5;BBB+;0.021966191;500000000;N;;Sr Unsecured;1;FIXED;24/01/2004;24/01/2032;24/01/2003;127.462;128.208
FR0000471930;ORAFP 8 ⅛ 01/28/33;EUR;131.3195;ORANGE SA;Communications;28/01/2033;8.125;BBB+;2.14239E-05;1500000000;N;;Sr Unsecured;1;FIXED;28/01/2004;28/01/2032;28/01/2003;130.991;131.648
XS0162513211;EOANGR 5 ¾ 02/14/33;EUR;115.78;E.ON INTL FINANCE BV;Utilities;14/02/2033;5.75;BBB+;0.00010082;600000000;N;;Sr Unsecured;1;FIXED;14/02/2004;14/02/2032;14/02/2003;115.447;116.114
XS0162869076;TELEFO 5 ⅞ 02/14/33;EUR;116.3;TELEFONICA EUROPE BV;Communications;14/02/2033;5.875;BBB-;0.000124958;500000000;N;;Sr Unsecured;1;FIXED;14/02/2004;14/02/2032;14/02/2003;115.984;116.616
FR0010014845;PEUGOT 6 09/19/33;EUR;112.3887;PSA TRESORERIE GIE;Consumer, Cyclical;19/09/2033;6;BBB;0.024239666;600000000;N;;Sr Unsecured;1;FIXED;19/09/2004;19/09/2032;19/09/2003;111.839;112.938
FR0010033381;VIEFP 6 ⅛ 11/25/33;EUR;119.702;VEOLIA ENVIRONNEMENT SA;Utilities;25/11/2033;6.125;BBB;0.000200524;700000000;N;;Sr Unsecured;1;FIXED;25/11/2004;25/11/2032;25/11/2003;119.299;120.105
XS0229567440;GE 4 ⅛ 09/19/35;EUR;105.4562;GENERAL ELECTRIC CO;Industrial;19/09/2035;4.125;A-;5.11829E-06;750000000;N;;Sr Unsecured;1;FIXED;19/09/2006;19/09/2034;19/09/2005;105.115;105.798
XS0300113254;PG 4 ⅞ 05/11/27;EUR;104.097;PROCTER & GAMBLE CO/THE;Consumer, Non-cyclical;11/05/2027;4.875;AA-;1.47446E-07;1000000000;N;;Sr Unsecured;1;FIXED;11/05/2008;11/05/2026;11/05/2007;104.013;104.18
XS0350890470;GE 6.025 03/01/38;EUR;124.77;GE CAPITAL EURO FUNDING;Industrial;01/03/2038;6.025;A-;5.11829E-06;484697000;N;;Sr Unsecured;1;FIXED;01/03/2009;01/03/2037;06/03/2008;124.175;125.364
XS0553728709;DT 4 ½ 10/28/30;EUR;108.6433;DEUTSCHE TELEKOM INT FIN;Communications;28/10/2030;4.5;BBB+;0.021966191;300000000;N;;Sr Unsecured;1;FIXED;28/10/2011;28/10/2029;28/10/2010;108.379;108.908
FR0011224963;VIEFP 4 ⅝ 03/30/27;EUR;103.19;VEOLIA ENVIRONNEMENT SA;Utilities;30/03/2027;4.625;BBB;0.000200524;750000000;N;;Sr Unsecured;1;FIXED;30/03/2013;30/03/2026;30/03/2012;103.088;103.292
XS0826189028;TELIAS 3 09/07/27;EUR;101.318;TELIA COMPANY AB;Communications;07/09/2027;3;BBB+;1.15493E-05;370083000;N;;Sr Unsecured;1;FIXED;07/09/2013;07/09/2026;07/09/2012;101.149;101.486
XS0866310088;T 3.55 12/17/32;EUR;101.026;AT&T INC;Communications;17/12/2032;3.55;BBB;0.000147481;1400000000;Y;17/09/2032;Sr Unsecured;1;FIXED;17/12/2013;17/12/2031;17/12/2012;100.784;101.269
XS0875797515;DT 3 ¼ 01/17/28;EUR;102.225;DEUTSCHE TELEKOM INT FIN;Communications;17/01/2028;3.25;BBB+;0.021966191;750000000;N;;Sr Unsecured;1;FIXED;17/01/2014;17/01/2027;17/01/2013;102.041;102.409
DE000A1UDWN5;SIEGR 2 ⅞ 03/10/28;EUR;101.861;SIEMENS FINANCIERINGSMAT;Industrial;10/03/2028;2.875;AA-;0.006816219;1000000000;N;;Sr Unsecured;1;FIXED;10/03/2014;10/03/2027;12/03/2013;101.698;102.024
DE000A1HG1K6;ALVGR 3 03/13/28;EUR;101.741;ALLIANZ FINANCE II B.V.;Financial;13/03/2028;3;AA;4.75964E-06;750000000;N;;Sr Unsecured;1;FIXED;13/03/2014;13/03/2027;13/03/2013;101.623;101.859
XS0908570459;VW 3.3 03/22/33;EUR;97.76498;VOLKSWAGEN INTL FIN NV;Consumer, Cyclical;22/03/2033;3.3;BBB+;0.042120067;850000000;N;;Sr Unsecured;1;FIXED;22/03/2014;22/03/2032;22/03/2013;97.397;98.133
BE0002432079;ELIATB 3 ¼ 04/04/28;EUR;101.813;ELIA TRANSMISSION BE;Utilities;04/04/2028;3.25;NR;0.008230541;550000000;N;;Sr Unsecured;1;FIXED;04/04/2014;04/04/2027;04/04/2013;101.694;101.932
XS0922885362;MSFT 2 ⅝ 05/02/33;EUR;98.929;MICROSOFT CORP;Technology;02/05/2033;2.625;AAA;5.81061E-09;550000000;Y;02/02/2033;Sr Unsecured;1;FIXED;02/05/2014;02/05/2032;02/05/2013;98.612;99.245
XS0934539726;RBOSGR 2 ⅝ 05/24/28;EUR;100.207;ROBERT BOSCH INVESTMENT;Consumer, Cyclical;24/05/2028;2.625;A;0.022641193;750000000;N;;Sr Unsecured;1;FIXED;24/05/2014;24/05/2027;24/05/2013;100.065;100.349
XS0935427970;JPM 2 ⅞ 05/24/28;EUR;100.9487;JPMORGAN CHASE & CO;Financial;24/05/2028;2.875;A+;0.0001373;1000000000;N;;Sr Unsecured;1;FIXED;24/05/2014;24/05/2027;24/05/2013;100.837;101.061
